tilte;id ;category;author;edition;synopsis;price;quantity avaibale;note
anna karenina;65696;mystery;leo tostoy; Penguin Random House;The story centers on an extramarital affair between Anna and cavalry officer Count Alexei Kirillovich Vronsky that scandalizes the social circles of Saint Petersburg and forces the young lovers to flee to Italy in a search for happiness, but after they return to Russia, their lives further unravel.;80;80;5
madame bovary;22455;historical fiction;gustave flaubert;harber collins;Madame Bovary tells the bleak story of a marriage that ends in tragedy. Charles Bovary, a good-hearted but dull and unambitious doctor with a meagre practice, marries Emma, a beautiful farm girl raised in a convent.;24;53;4
war and peace;55360;literary fiction;leo tostoy;simon and schuster;War and Peace by Leo Tolstoy is an 1867 novel set between the years 1805 and 1813. It follows several different Russians and their families and the events leading up to and during the 1812 invasion of Russia by France. The three main families are the Rostovs, the Bolkonskys, and the Bezukhovs.;64;21;2
the great gatspy;94852;science fiction;scott fitzgerald;macmilan publishers;The Great Gatsby, novel by American author F. Scott Fitzgerald, published in 1925. It tells the story of Jay Gatsby, a self-made millionaire, and his pursuit of Daisy Buchanan, a wealthy young woman whom he loved in his youth. Set in 1920s New York, the book is narrated by Nick Carraway.;50;64;1
mo dao zhu shi;35214;romance;MXTX;mewymoo;The series follows Wei Wuxian, a cultivator killed for following the demonic cultivation path, despite his bravery in a campaign against the Wen Clan, a tyrannical militant sect. A decade after his death, a disgraced cultivator trades his own life to bring him back from the dead and exact revenge his family.;63;43;3
middlemarch;54212;mystery;george eliot;houghton miffling harcourt;George Eliot's influential novel Middlemarch is, according to its subtitle, a “study of provincial life.” At its center are the beautiful and inquisitive Dorothea Brooke and the ambitious young doctor Tertius Lydgate, who both have to abandon their idealist views when faced with the reality of daily life.;100;12;5
adventures of huckleberry;32050;literary fiction;mark twain;scholastic colporation;Adventures of Huckleberry Finn is one of Mark Twain's best-known and most important novels. The novel tells the story of Huckleberry Finn's escape from his alcoholic and abusive father and Huck's adventurous journey down the Mississippi River together with the runaway slave Jim.;20;8;5
heaven official's blessing;88520;romance;MXTX;mewymoo;Eight hundred years after his mortal life, Xie Lian has ascended to godhood for the third time. Now only a lowly scrap collector, he is dispatched to wander the earthly realm to take on tasks appointed by the heavens to pay back debts and maintain his divinity.;34;64;4
in search of lost time;77410;historical fiction;marcel proust;bloomsburry publishing;"In Search of Lost Time follows the narrator's recollections of childhood and experiences into adulthood in the late 19th-century and early 20th-century high-society France. Proust began to shape the novel in 1909; he continued to work on it until his final illness in the autumn of 1922 forced him to break off.";44;50;4
hamlet;95220;contemporary;william shakespeare;penguin books;Hamlet Summary. The ghost of the King of Denmark tells his son Hamlet to avenge his murder by killing the new king, Hamlet's uncle. Hamlet feigns madness, contemplates life and death, and seeks revenge. His uncle, fearing for his life, also devises plots to kill Hamlet;71;34;3
moby dick ;62501;contemporary;herman melville;oxford university press;Herman Melville's Moby Dick is the story of Captain Ahab's self-destructive obsession with the white whale called Moby Dick. It is told through the narration of Ishmael, a sailor new to Ahab's ship, the Pequod. The plot of the novel follows Ahab's manic drive to kill the whale, even as it endangers his crew.;69;51;2
don quixote;24513;romance;miguel de cervantes;cambridge university press;Don Quixote, or The Ingenius Gentleman Don Quixote of La Mancha, written by Miguel de Cervantes Saavedra, is a novel about a man with questionable sanity who goes on a series of quests to become a knight, accompanied by his 'squire', Sancho.;55;64;1
ulysses;58421;literary fiction;james joy ;penguin classics;the novel depicts the events of one day (June 16th, 1904) in one smallish European city (Dublin, Ireland) through, mostly, the consciousness of two men (Stephen Dedalus, 22, and Leopold Bloom, 38). Nineteen hours pass;30;42;4
great expectations;62515;contemporary;charles dickens;knopf doubleday;Charles Dickens' Great Expectations is a rich and lively novel, centering on the life of Pip, an orphan who, thanks to a generous patron, is given 'great expectations' of becoming a gentleman. Typical of a Bildungsroman, we follow Pip's development and his reactions to the world around him.;150;100;5
one  hundred years of solitude;48324;romance;gabriel garcia marquez;workman publishing;Set in the fictional town of Macondo, the narrative follows seven generations of the Buendía family, weaving a rich tapestry of love, power, isolation, and destiny. From the town's inception to its foreordained demise, the tale encapsulates the cyclical nature of history and the universality of human experiences.;16;51;5
king lear ;65841;historical fiction;william shakespeare;penguin books;King Lear gives up his political power and lands, with his sons-in-law ruling as regents, but he keeps the title of 'king'. Lear gives his older daughters Goneril and Regan half his kingdom each to rule with their husbands and surprises everyone by disinheriting and disowning his youngest daughter Cordelia.;42;46;4
crime and punishment;63251;literary fiction;fyodor dostoevsky;vintage books;Crime and Punishment follows the mental anguish and moral dilemmas of Rodion Raskolnikov, an impoverished ex-student in Saint Petersburg who plans to kill an unscrupulous pawnbroker, an old woman who stores money and valuable objects in her flat.;33;30;3
the odyssey;88421;romance;Homer;faber and faber;The Odyssey follows the story of the king of Ithaca's journey home after the fall of Troy. Odysseus left his land and wife to join the battle of Troy on the day his son, Telemachus, was born. The battle of Troy lasted 10 years, and Odysseus has been struggling for ten years to get home.;48;15;4
to the lighthouse;33625;contemporary;virginia woolf;hogarth press;The novel centers around the Ramsay family and their visits to the Isle of Skye in Scotland between 1910 and 1920. Woolf delves deeply into family life and individual consciousness, particularly focusing on the characters' internal thoughts and perceptions.;60;34;5
booktitle;8888;horror;mouna;emsi;anothe exemple;55;44;5
